date,amount,category,description
01-10-2024,125.65,Income,Salary
06-10-2024,125.0,Income,sid
15-07-2024,1100,Income,Salary
16-07-2024,40,Expense,Stationery
17-07-2024,180,Expense,Utilities
18-07-2024,250,Income,Freelance Work
19-07-2024,70,Expense,Restaurant
20-07-2024,130,Expense,Transport
21-07-2024,600,Income,Bonus
22-07-2024,35,Expense,Snacks
23-07-2024,300,Income,Stock Dividends
24-07-2024,100,Expense,Entertainment
25-07-2024,55,Expense,Coffee
26-07-2024,140,Expense,Gas
27-07-2024,90,Expense,Books
28-07-2024,170,Expense,Clothing
29-07-2024,1200,Income,Salary
30-07-2024,45,Expense,Stationery
31-07-2024,190,Expense,Utilities
20-07-2023,124.0,Expense,Groceries
